f	m	t	
	-5.05109E-05	0.127495	
			
			
X in nm	Y Signal 	f	y-f
606.16	0.11298	0.096877313	0.016102687
606.2	0.10825	0.096875292	0.011374708
606.24	0.11517	0.096873272	0.018296728
606.28	0.11008	0.096871252	0.013208748
606.32	0.11293	0.096869231	0.016060769
606.36	0.11115	0.096867211	0.014282789
606.4	0.11095	0.09686519	0.01408481
606.44	0.11217	0.09686317	0.01530683
606.48	0.11212	0.096861149	0.015258851
606.52	0.1139	0.096859129	0.017040871
606.56	0.11502	0.096857108	0.018162892
606.6	0.11416	0.096855088	0.017304912
606.64	0.11599	0.096853068	0.019136932
606.68	0.11604	0.096851047	0.019188953
606.72	0.11314	0.096849027	0.016290973
606.76	0.11293	0.096847006	0.016082994
606.8	0.1084	0.096844986	0.011555014
606.84	0.11512	0.096842965	0.018277035
606.88	0.11212	0.096840945	0.015279055
606.92	0.1139	0.096838925	0.017061075
606.96	0.11405	0.096836904	0.017213096
607	0.11792	0.096834884	0.021085116
607.04	0.1139	0.096832863	0.017067137
607.08	0.11874	0.096830843	0.021909157
607.12	0.114	0.096828822	0.017171178
607.16	0.1112	0.096826802	0.014373198
607.2	0.11288	0.096824782	0.016055218
607.24	0.11207	0.096822761	0.015247239
607.28	0.11222	0.096820741	0.015399259
607.32	0.1224	0.09681872	0.02558128
607.36	0.12133	0.0968167	0.0245133
607.4	0.10652	0.096814679	0.009705321
607.44	0.11411	0.096812659	0.017297341
607.48	0.11772	0.096810638	0.020909362
607.52	0.11385	0.096808618	0.017041382
607.56	0.11411	0.096806598	0.017303402
607.6	0.11039	0.096804577	0.013585423
607.64	0.11609	0.096802557	0.019287443
607.68	0.11589	0.096800536	0.019089464
607.72	0.11706	0.096798516	0.020261484
607.76	0.12449	0.096796495	0.027693505
607.8	0.11421	0.096794475	0.017415525
607.84	0.11492	0.096792455	0.018127545
607.88	0.11482	0.096790434	0.018029566
607.92	0.11202	0.096788414	0.015231586
607.96	0.1166	0.096786393	0.019813607
608	0.11899	0.096784373	0.022205627
608.04	0.11803	0.096782352	0.021247648
608.08	0.12235	0.096780332	0.025569668
608.12	0.11523	0.096778311	0.018451689
608.16	0.11487	0.096776291	0.018093709
608.2	0.11701	0.096774271	0.020235729
608.24	0.11482	0.09677225	0.01804775
608.28	0.11502	0.09677023	0.01824977
608.32	0.11767	0.096768209	0.020901791
608.36	0.12174	0.096766189	0.024973811
608.4	0.12617	0.096764168	0.029405832
608.44	0.12643	0.096762148	0.029667852
608.48	0.1139	0.096760128	0.017139872
608.52	0.11298	0.096758107	0.016221893
608.56	0.11283	0.096756087	0.016073913
608.6	0.11482	0.096754066	0.018065934
608.64	0.11507	0.096752046	0.018317954
608.68	0.11813	0.096750025	0.021379975
608.72	0.11497	0.096748005	0.018221995
608.76	0.11461	0.096745985	0.017864015
608.8	0.12811	0.096743964	0.031366036
608.84	0.11512	0.096741944	0.018378056
608.88	0.12072	0.096739923	0.023980077
608.92	0.11869	0.096737903	0.021952097
608.96	0.12235	0.096735882	0.025614118
609	0.1168	0.096733862	0.020066138
609.04	0.11685	0.096731841	0.020118159
609.08	0.11696	0.096729821	0.020230179
609.12	0.12067	0.096727801	0.023942199
609.16	0.12439	0.09672578	0.02766422
609.2	0.12067	0.09672376	0.02394624
609.24	0.12077	0.096721739	0.024048261
609.28	0.11619	0.096719719	0.019470281
609.32	0.11589	0.096717698	0.019172302
609.36	0.11777	0.096715678	0.021054322
609.4	0.11971	0.096713658	0.022996342
609.44	0.1195	0.096711637	0.022788363
609.48	0.11955	0.096709617	0.022840383
609.52	0.11298	0.096707596	0.016272404
609.56	0.11803	0.096705576	0.021324424
609.6	0.12526	0.096703555	0.028556445
609.64	0.12531	0.096701535	0.028608465
609.68	0.11273	0.096699514	0.016030486
609.72	0.12077	0.096697494	0.024072506
609.76	0.11685	0.096695474	0.020154526
609.8	0.12368	0.096693453	0.026986547
609.84	0.11217	0.096691433	0.015478567
609.88	0.12164	0.096689412	0.024950588
609.92	0.12164	0.096687392	0.024952608
609.96	0.12444	0.096685371	0.027754629
610	0.12062	0.096683351	0.023936649
610.04	0.12251	0.096681331	0.025828669
610.08	0.12164	0.09667931	0.02496069
610.12	0.12067	0.09667729	0.02399271
610.16	0.11039	0.096675269	0.013714731
610.2	0.11421	0.096673249	0.017536751
610.24	0.11416	0.096671228	0.017488772
610.28	0.12531	0.096669208	0.028640792
610.32	0.12352	0.096667188	0.026852812
610.36	0.11772	0.096665167	0.021054833
610.4	0.11971	0.096663147	0.023046853
610.44	0.11945	0.096661126	0.022788874
610.48	0.11502	0.096659106	0.018360894
610.52	0.11492	0.096657085	0.018262915
610.56	0.11874	0.096655065	0.022084935
610.6	0.11594	0.096653044	0.019286956
610.64	0.12632	0.096651024	0.029668976
610.68	0.12444	0.096649004	0.027790996
610.72	0.11879	0.096646983	0.022143017
610.76	0.13198	0.096644963	0.035335037
610.8	0.13228	0.096642942	0.035637058
610.84	0.12734	0.096640922	0.030699078
610.88	0.12912	0.096638901	0.032481099
610.92	0.13391	0.096636881	0.037273119
610.96	0.1195	0.096634861	0.022865139
