G11_pendel
06.09.2021
17:20:15
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
7,720E+0 2,878E+0 -3,864E-1 0,000E+0 0,000E+0 1,608E+0 NaN NaN
7,760E+0 2,835E+0 -4,302E-1 0,000E+0 0,000E+0 1,617E+0 NaN NaN
7,800E+0 2,787E+0 -4,643E-1 0,000E+0 0,000E+0 1,625E+0 NaN NaN
7,840E+0 2,736E+0 -4,872E-1 0,000E+0 0,000E+0 1,633E+0 NaN NaN
7,880E+0 2,682E+0 -5,079E-1 0,000E+0 0,000E+0 1,642E+0 NaN NaN
7,920E+0 2,626E+0 -5,297E-1 0,000E+0 0,000E+0 1,650E+0 NaN NaN
7,960E+0 2,567E+0 -5,437E-1 0,000E+0 0,000E+0 1,658E+0 NaN NaN
8,000E+0 2,507E+0 -5,452E-1 0,000E+0 0,000E+0 1,667E+0 NaN NaN
8,040E+0 2,447E+0 -5,437E-1 0,000E+0 0,000E+0 1,675E+0 NaN NaN
8,080E+0 2,387E+0 -5,463E-1 0,000E+0 0,000E+0 1,683E+0 NaN NaN
8,120E+0 2,327E+0 -5,441E-1 0,000E+0 0,000E+0 1,692E+0 NaN NaN
8,160E+0 2,267E+0 -5,315E-1 0,000E+0 0,000E+0 1,700E+0 NaN NaN
8,200E+0 2,208E+0 -5,199E-1 0,000E+0 0,000E+0 1,708E+0 NaN NaN
8,240E+0 2,151E+0 -5,156E-1 0,000E+0 0,000E+0 1,717E+0 NaN NaN
8,280E+0 2,093E+0 -5,060E-1 0,000E+0 0,000E+0 1,725E+0 NaN NaN
8,320E+0 2,037E+0 -4,891E-1 0,000E+0 0,000E+0 1,733E+0 NaN NaN
8,360E+0 1,983E+0 -4,809E-1 0,000E+0 0,000E+0 1,742E+0 NaN NaN
8,400E+0 1,929E+0 -4,765E-1 0,000E+0 0,000E+0 1,750E+0 NaN NaN
8,440E+0 1,876E+0 -4,625E-1 0,000E+0 0,000E+0 1,758E+0 NaN NaN
8,480E+0 1,824E+0 -4,550E-1 0,000E+0 0,000E+0 1,767E+0 NaN NaN
8,520E+0 1,772E+0 -4,559E-1 0,000E+0 0,000E+0 1,775E+0 NaN NaN
8,560E+0 1,721E+0 -4,460E-1 0,000E+0 0,000E+0 1,783E+0 NaN NaN
8,600E+0 1,670E+0 -4,444E-1 0,000E+0 0,000E+0 1,792E+0 NaN NaN
8,640E+0 1,620E+0 -4,496E-1 0,000E+0 0,000E+0 1,800E+0 NaN NaN
8,680E+0 1,568E+0 -4,437E-1 0,000E+0 0,000E+0 1,808E+0 NaN NaN
8,720E+0 1,518E+0 -4,498E-1 0,000E+0 0,000E+0 1,817E+0 NaN NaN
8,760E+0 1,466E+0 -4,551E-1 0,000E+0 0,000E+0 1,825E+0 NaN NaN
8,800E+0 1,414E+0 -4,542E-1 0,000E+0 0,000E+0 1,833E+0 NaN NaN
8,840E+0 1,361E+0 -4,667E-1 0,000E+0 0,000E+0 1,842E+0 NaN NaN
8,880E+0 1,307E+0 -4,686E-1 0,000E+0 0,000E+0 1,850E+0 NaN NaN
8,920E+0 1,253E+0 -4,747E-1 0,000E+0 0,000E+0 1,858E+0 NaN NaN
8,960E+0 1,197E+0 -4,861E-1 0,000E+0 0,000E+0 1,867E+0 NaN NaN
9,000E+0 1,141E+0 -4,850E-1 0,000E+0 0,000E+0 1,875E+0 NaN NaN
9,040E+0 1,085E+0 -4,929E-1 0,000E+0 0,000E+0 1,883E+0 NaN NaN
9,080E+0 1,027E+0 -4,940E-1 0,000E+0 0,000E+0 1,892E+0 NaN NaN
9,120E+0 9,698E-1 -4,867E-1 0,000E+0 0,000E+0 1,900E+0 NaN NaN
9,160E+0 9,130E-1 -4,849E-1 0,000E+0 0,000E+0 1,908E+0 NaN NaN
9,200E+0 8,565E-1 -4,699E-1 0,000E+0 0,000E+0 1,917E+0 NaN NaN
9,240E+0 8,022E-1 -4,438E-1 0,000E+0 0,000E+0 1,925E+0 NaN NaN
9,280E+0 7,505E-1 -4,192E-1 0,000E+0 0,000E+0 1,933E+0 NaN NaN
9,320E+0 7,018E-1 -3,823E-1 0,000E+0 0,000E+0 1,942E+0 NaN NaN
9,360E+0 6,576E-1 -3,278E-1 0,000E+0 0,000E+0 1,950E+0 NaN NaN
9,400E+0 6,199E-1 -2,674E-1 0,000E+0 0,000E+0 1,958E+0 NaN NaN
9,440E+0 5,887E-1 -2,027E-1 0,000E+0 0,000E+0 1,967E+0 NaN NaN
9,480E+0 5,652E-1 -1,220E-1 0,000E+0 0,000E+0 1,975E+0 NaN NaN
9,520E+0 5,511E-1 -2,729E-2 0,000E+0 0,000E+0 1,983E+0 NaN NaN
9,560E+0 5,478E-1 7,172E-2 0,000E+0 0,000E+0 1,992E+0 NaN NaN
9,600E+0 5,555E-1 1,690E-1 0,000E+0 0,000E+0 2,000E+0 NaN NaN
9,640E+0 5,740E-1 2,674E-1 0,000E+0 0,000E+0 2,008E+0 NaN NaN
9,680E+0 6,036E-1 3,674E-1 0,000E+0 0,000E+0 2,017E+0 NaN NaN
9,720E+0 6,443E-1 4,626E-1 0,000E+0 0,000E+0 2,025E+0 NaN NaN
9,760E+0 6,953E-1 5,455E-1 0,000E+0 0,000E+0 2,033E+0 NaN NaN
9,800E+0 7,551E-1 6,139E-1 0,000E+0 0,000E+0 2,042E+0 NaN NaN
9,840E+0 8,223E-1 6,712E-1 0,000E+0 0,000E+0 2,050E+0 NaN NaN
9,880E+0 8,957E-1 7,200E-1 0,000E+0 0,000E+0 2,058E+0 NaN NaN
9,920E+0 9,743E-1 7,566E-1 0,000E+0 0,000E+0 2,067E+0 NaN NaN
9,960E+0 1,057E+0 7,761E-1 0,000E+0 0,000E+0 2,075E+0 NaN NaN
1,000E+1 1,141E+0 7,769E-1 0,000E+0 0,000E+0 2,083E+0 NaN NaN
1,004E+1 1,224E+0 7,663E-1 0,000E+0 0,000E+0 2,092E+0 NaN NaN
1,008E+1 1,307E+0 7,521E-1 0,000E+0 0,000E+0 2,100E+0 NaN NaN
1,012E+1 1,388E+0 7,341E-1 0,000E+0 0,000E+0 2,108E+0 NaN NaN
1,016E+1 1,467E+0 7,077E-1 0,000E+0 0,000E+0 2,117E+0 NaN NaN
1,020E+1 1,543E+0 6,775E-1 0,000E+0 0,000E+0 2,125E+0 NaN NaN
1,024E+1 1,616E+0 6,524E-1 0,000E+0 0,000E+0 2,133E+0 NaN NaN
1,028E+1 1,687E+0 6,314E-1 0,000E+0 0,000E+0 2,142E+0 NaN NaN
1,032E+1 1,755E+0 6,056E-1 0,000E+0 0,000E+0 2,150E+0 NaN NaN
1,036E+1 1,821E+0 5,829E-1 0,000E+0 0,000E+0 2,158E+0 NaN NaN
1,040E+1 1,884E+0 5,713E-1 0,000E+0 0,000E+0 2,167E+0 NaN NaN
1,044E+1 1,946E+0 5,560E-1 0,000E+0 0,000E+0 2,175E+0 NaN NaN
1,048E+1 2,007E+0 5,422E-1 0,000E+0 0,000E+0 2,183E+0 NaN NaN
1,052E+1 2,067E+0 5,410E-1 0,000E+0 0,000E+0 2,192E+0 NaN NaN
1,056E+1 2,126E+0 5,329E-1 0,000E+0 0,000E+0 2,200E+0 NaN NaN
