x	CH0	CH1	CH3	CH4	f-4	Ch4_b	a	b	f	CH0_b	CH1_b	CH3_b
141.2969	0.1731	0.0414	0.035	0.3641	0.84832594	-0.48422594			0.03785847	0.13524153	0.00354153	0.32624153
141.2979	0.1731	0.0414	0.035	0.3643	0.848332325	-0.484032325			0.037871194	0.135228806	0.003528806	0.326428806
141.298	0.1731	0.0414	0.0349	0.3643	0.848332964	-0.484032964			0.03788334	0.13521666	0.00351666	0.32641666
141.2999	0.173	0.0413	0.0349	0.3641	0.848345095	-0.484245095			0.037897284	0.135102716	0.003402716	0.326202716
141.3	0.173	0.0413	0.0349	0.3641	0.848345734	-0.484245734			0.037909173	0.135090827	0.003390827	0.326190827
141.3021	0.1729	0.0413	0.0349	0.364	0.848359143	-0.484359143			0.037921897	0.134978103	0.003378103	0.326078103
141.3032	0.1727	0.0413	0.0349	0.364	0.848366167	-0.484366167			0.037935264	0.134764736	0.003364736	0.326064736
141.3035	0.1728	0.0413	0.0348	0.3638	0.848368082	-0.484568082			0.037947859	0.134852141	0.003352141	0.325852141
141.306	0.173	0.0412	0.0348	0.3637	0.848384045	-0.484684045			0.037961097	0.135038903	0.003238903	0.325738903
141.307	0.1732	0.0412	0.0348	0.3637	0.84839043	-0.48469043			0.037974528	0.135225472	0.003225472	0.325725472
141.3061	0.1735	0.0411	0.0347	0.3637	0.848384684	-0.484684684			0.037986417	0.135513583	0.003113583	0.325713583
141.3078	0.1735	0.0411	0.0347	0.3638	0.848395538	-0.484595538			0.037999205	0.135500795	0.003100795	0.325800795
141.3086	0.1739	0.0411	0.0347	0.3637	0.848400647	-0.484700647			0.0380127	0.1358873	0.0030873	0.3256873
141.3099	0.1737	0.0411	0.0347	0.3635	0.848408947	-0.484908947			0.038026002	0.135673998	0.003073998	0.325473998
141.3121	0.1733	0.0411	0.0346	0.3637	0.848422995	-0.484722995			0.038039305	0.135260695	0.003060695	0.325660695
141.3116	0.1734	0.0411	0.0346	0.3638	0.848419802	-0.484619802			0.038051965	0.135348035	0.003048035	0.325748035
141.3129	0.1733	0.041	0.0346	0.3633	0.848428103	-0.485128103			0.038064432	0.135235568	0.002935568	0.325235568
141.3161	0.1729	0.041	0.0346	0.3641	0.848448535	-0.484348535			0.038076963	0.134823037	0.002923037	0.326023037
141.3159	0.1727	0.0409	0.0345	0.3639	0.848447258	-0.484547258			0.038092386	0.134607614	0.002807614	0.325807614
141.3177	0.1736	0.0409	0.0345	0.3638	0.848458752	-0.484658752			0.038104596	0.135495404	0.002795404	0.325695404
141.3181	0.1739	0.041	0.0345	0.3635	0.848461306	-0.484961306			0.038117705	0.135782295	0.002882295	0.325382295
141.3188	0.1738	0.041	0.0345	0.3636	0.848465775	-0.484865775			0.038131136	0.135668864	0.002868864	0.325468864
141.3207	0.1742	0.0409	0.0345	0.3637	0.848477907	-0.484777907			0.038144888	0.136055112	0.002755112	0.325555112
141.3216	0.1743	0.0409	0.0345	0.3637	0.848483654	-0.484783654			0.038158062	0.136141938	0.002741938	0.325541938
141.3238	0.1747	0.0409	0.0344	0.3637	0.848497701	-0.484797701			0.038170143	0.136529857	0.002729857	0.325529857
141.3246	0.174	0.0409	0.0344	0.3635	0.848502809	-0.485002809			0.038183896	0.135816104	0.002716104	0.325316104
141.3266	0.174	0.0409	0.0344	0.3637	0.84851558	-0.48481558			0.038197905	0.135802095	0.002702095	0.325502095
141.328	0.1742	0.0408	0.0344	0.3634	0.848524519	-0.485124519			0.038210179	0.135989821	0.002589821	0.325189821
141.3275	0.1736	0.0409	0.0344	0.3632	0.848521326	-0.485321326			0.03822361	0.13537639	0.00267639	0.32497639
141.33	0.1738	0.0408	0.0344	0.3626	0.848537289	-0.485937289			0.038237876	0.135562124	0.002562124	0.324362124
141.3327	0.1742	0.0409	0.0344	0.3623	0.848554529	-0.486254529			0.038249572	0.135950428	0.002650428	0.324050428
141.3313	0.1745	0.0409	0.0344	0.362	0.84854559	-0.48654559			0.038262874	0.136237126	0.002637126	0.323737126
141.3339	0.1749	0.0408	0.0344	0.3617	0.848562192	-0.486862192			0.03827592	0.13662408	0.00252408	0.32342408
141.334	0.175	0.0409	0.0344	0.3617	0.84856283	-0.48686283			0.038288965	0.136711035	0.002611035	0.323411035
141.3363	0.1749	0.0408	0.0343	0.3616	0.848577516	-0.486977516			0.038302717	0.136597283	0.002497283	0.323297283
141.3364	0.1746	0.0408	0.0343	0.3614	0.848578155	-0.487178155			0.038315634	0.136284366	0.002484366	0.323084366
141.337	0.1746	0.0408	0.0343	0.3614	0.848581986	-0.487181986			0.038327201	0.136272799	0.002472799	0.323072799
141.3385	0.1747	0.0408	0.0343	0.3613	0.848591563	-0.487291563			0.038341917	0.136358083	0.002458083	0.322958083
141.3405	0.1746	0.0407	0.0343	0.3612	0.848604334	-0.487404334			0.038356184	0.136243816	0.002343816	0.322843816
141.3413	0.1746	0.0407	0.0342	0.3612	0.848609442	-0.487409442			0.038367815	0.136232185	0.002332185	0.322832185
