Hg-high_einhuellende_0.dat
05/10/2021
13:29
M1: 60um  Speed 1um/s  filter: 129Hz
position_mm  datamess datacalib
40.3098249390 0.0251672864 0.2495625168
40.3098449390 0.0251622722 0.2495456785
40.3098649390 0.0251573734 0.2495314181
40.3098849390 0.0251525939 0.2495197654
40.3099049390 0.0251479354 0.2495107204
40.3099249390 0.0251433980 0.2495042980
40.3099449390 0.0251389854 0.2495004982
40.3099649390 0.0251346976 0.2494993061
40.3099849390 0.0251305345 0.2495007366
40.3100049390 0.0251265019 0.2495048046
40.3100249390 0.0251225978 0.2495114803
40.3100449390 0.0251188241 0.2495207787
40.3100649390 0.0251151826 0.2495326996
40.3100849390 0.0251116734 0.2495472133
40.3101049390 0.0251083001 0.2495643198
40.3101249390 0.0251050610 0.2495840043
40.3101449390 0.0251019597 0.2496062666
40.3101649390 0.0250989944 0.2496310771
40.3101849390 0.0250961669 0.2496584356
40.3102049390 0.0250934791 0.2496883124
40.3102249390 0.0250909310 0.2497206777
40.3102449390 0.0250885244 0.2497555315
40.3102649390 0.0250862576 0.2497928441
40.3102849390 0.0250841305 0.2498325855
40.3103049390 0.0250821467 0.2498747259
40.3103249390 0.0250803046 0.2499192357
40.3103449390 0.0250786040 0.2499660850
40.3103649390 0.0250770468 0.2500152588
40.3103849390 0.0250756294 0.2500666976
40.3104049390 0.0250743553 0.2501203716
40.3104249390 0.0250732228 0.2501762509
40.3104449390 0.0250722319 0.2502343059
40.3104649390 0.0250713825 0.2502944767
40.3104849390 0.0250706729 0.2503567338
40.3105049390 0.0250701029 0.2504210174
40.3105249390 0.0250696726 0.2504872978
40.3105449390 0.0250693802 0.2505555153
40.3105649390 0.0250692237 0.2506256402
40.3105849390 0.0250692051 0.2506975830
40.3106049390 0.0250693206 0.2507713437
40.3106249390 0.0250695702 0.2508468330
40.3106449390 0.0250699520 0.2509240210
40.3106649390 0.0250704642 0.2510028183
40.3106849390 0.0250711069 0.2510832250
40.3107049390 0.0250718761 0.2511651218
40.3107249390 0.0250727702 0.2512484789
40.3107449390 0.0250737891 0.2513332069
40.3107649390 0.0250749271 0.2514193058
40.3107849390 0.0250761863 0.2515066564
40.3108049390 0.0250775609 0.2515952289
40.3108249390 0.0250790510 0.2516849339
40.3108449390 0.0250806529 0.2517757118
40.3108649390 0.0250823647 0.2518675029
40.3108849390 0.0250841808 0.2519602478
40.3109049390 0.0250861030 0.2520538568
40.3109249390 0.0250881240 0.2521482706
40.3109449390 0.0250902418 0.2522434294
40.3109649390 0.0250924546 0.2523392439
40.3109849390 0.0250947587 0.2524356544
40.3110049390 0.0250971504 0.2525326014
40.3110249390 0.0250996239 0.2526300251
40.3110449390 0.0251021795 0.2527277768
40.3110649390 0.0251048114 0.2528258860
40.3110849390 0.0251075160 0.2529242039
40.3111049390 0.0251102895 0.2530227005
40.3111249390 0.0251131263 0.2531212866
40.3111449390 0.0251160245 0.2532199025
40.3111649390 0.0251189806 0.2533184588
40.3111849390 0.0251219869 0.2534168661
40.3112049390 0.0251250416 0.2535151243
40.3112249390 0.0251281392 0.2536130846
40.3112449390 0.0251312777 0.2537106872
40.3112649390 0.0251344480 0.2538079023
40.3112849390 0.0251376498 0.2539046109
40.3113049390 0.0251408760 0.2540007830
40.3113249390 0.0251441207 0.2540962994
40.3113449390 0.0251473822 0.2541911602
40.3113649390 0.0251506548 0.2542852163
40.3113849390 0.0251539312 0.2543784678
40.3114049390 0.0251572095 0.2544707954
