G11_shinriki
06.09.2021
19:37:54
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

9,020E-1 -5,263E-2 -4,539E-2 0,000E+0 0,000E+0 5,285E+3 2,583E-9
9,062E-1 -4,358E-2 -4,605E-2 0,000E+0 0,000E+0 5,315E+3 1,907E-9
9,107E-1 -3,469E-2 -4,687E-2 0,000E+0 0,000E+0 5,345E+3 2,288E-8
9,159E-1 -2,548E-2 -4,704E-2 0,000E+0 0,000E+0 5,375E+3 3,842E-8
9,219E-1 -1,626E-2 -4,753E-2 0,000E+0 0,000E+0 5,405E+3 8,291E-9
9,286E-1 -7,042E-3 -4,720E-2 0,000E+0 0,000E+0 5,435E+3 2,139E-9
9,360E-1 2,010E-3 -4,753E-2 0,000E+0 0,000E+0 5,465E+3 1,388E-9
9,444E-1 1,156E-2 -4,704E-2 0,000E+0 0,000E+0 5,495E+3 1,430E-9
9,533E-1 2,044E-2 -4,654E-2 0,000E+0 0,000E+0 5,526E+3 1,707E-9
9,633E-1 2,966E-2 -4,605E-2 0,000E+0 0,000E+0 5,556E+3 2,962E-9
9,742E-1 3,888E-2 -4,506E-2 0,000E+0 0,000E+0 5,586E+3 1,509E-8
9,854E-1 4,826E-2 -4,374E-2 0,000E+0 0,000E+0 5,616E+3 1,949E-8
9,972E-1 5,715E-2 -4,210E-2 0,000E+0 0,000E+0 5,646E+3 3,690E-9
1,010E+0 6,620E-2 -4,045E-2 0,000E+0 0,000E+0 5,676E+3 1,781E-9
1,024E+0 7,525E-2 -3,897E-2 0,000E+0 0,000E+0 5,706E+3 1,496E-9
1,038E+0 8,430E-2 -3,667E-2 0,000E+0 0,000E+0 5,736E+3 1,368E-9
1,053E+0 9,319E-2 -3,436E-2 0,000E+0 0,000E+0 5,766E+3 1,851E-9
1,069E+0 1,017E-1 -3,206E-2 0,000E+0 0,000E+0 5,796E+3 6,032E-9
1,086E+0 1,106E-1 -2,959E-2 0,000E+0 0,000E+0 5,826E+3 2,660E-8
1,103E+0 1,189E-1 -2,646E-2 0,000E+0 0,000E+0 5,856E+3 1,600E-8
1,122E+0 1,276E-1 -2,334E-2 0,000E+0 0,000E+0 5,886E+3 2,125E-9
1,141E+0 1,361E-1 -2,021E-2 0,000E+0 0,000E+0 5,916E+3 1,186E-9
1,161E+0 1,444E-1 -1,659E-2 0,000E+0 0,000E+0 5,946E+3 1,529E-9
1,181E+0 1,524E-1 -1,280E-2 0,000E+0 0,000E+0 5,976E+3 1,104E-9
1,202E+0 1,605E-1 -9,017E-3 0,000E+0 0,000E+0 6,006E+3 9,115E-10
1,224E+0 1,684E-1 -4,738E-3 0,000E+0 0,000E+0 6,036E+3 5,188E-9
1,247E+0 1,765E-1 -9,522E-4 0,000E+0 0,000E+0 6,066E+3 5,924E-9
1,270E+0 1,839E-1 3,492E-3 0,000E+0 0,000E+0 6,096E+3 2,693E-9
1,295E+0 1,916E-1 7,606E-3 0,000E+0 0,000E+0 6,126E+3 1,412E-9
1,319E+0 1,990E-1 1,271E-2 0,000E+0 0,000E+0 6,156E+3 1,870E-9
1,345E+0 2,063E-1 1,699E-2 0,000E+0 0,000E+0 6,186E+3 6,797E-10
1,372E+0 2,137E-1 2,225E-2 0,000E+0 0,000E+0 6,216E+3 1,398E-9
1,398E+0 2,204E-1 2,736E-2 0,000E+0 0,000E+0 6,246E+3 2,494E-9
1,426E+0 2,273E-1 3,246E-2 0,000E+0 0,000E+0 6,276E+3 5,777E-9
1,455E+0 2,342E-1 3,822E-2 0,000E+0 0,000E+0 6,306E+3 1,028E-8
1,485E+0 2,407E-1 4,332E-2 0,000E+0 0,000E+0 6,336E+3 3,230E-9
1,514E+0 2,472E-1 4,908E-2 0,000E+0 0,000E+0 6,366E+3 1,748E-9
1,544E+0 2,532E-1 5,517E-2 0,000E+0 0,000E+0 6,396E+3 1,338E-9
1,574E+0 2,594E-1 6,093E-2 0,000E+0 0,000E+0 6,426E+3 9,663E-10
1,605E+0 2,655E-1 6,686E-2 0,000E+0 0,000E+0 6,456E+3 1,396E-9
1,637E+0 2,713E-1 7,295E-2 0,000E+0 0,000E+0 6,486E+3 1,344E-9
1,668E+0 2,770E-1 7,936E-2 0,000E+0 0,000E+0 6,517E+3 5,284E-9
1,700E+0 2,825E-1 8,545E-2 0,000E+0 0,000E+0 6,547E+3 5,997E-9
1,732E+0 2,877E-1 9,154E-2 0,000E+0 0,000E+0 6,577E+3 1,616E-9
1,765E+0 2,928E-1 9,895E-2 0,000E+0 0,000E+0 6,607E+3 2,001E-9
1,798E+0 2,981E-1 1,050E-1 0,000E+0 0,000E+0 6,637E+3 1,631E-9
1,830E+0 3,030E-1 1,116E-1 0,000E+0 0,000E+0 6,667E+3 1,307E-9
1,863E+0 3,076E-1 1,185E-1 0,000E+0 0,000E+0 6,697E+3 1,558E-9
1,896E+0 3,122E-1 1,254E-1 0,000E+0 0,000E+0 6,727E+3 1,385E-9
1,928E+0 3,169E-1 1,325E-1 0,000E+0 0,000E+0 6,757E+3 3,733E-9
1,961E+0 3,213E-1 1,396E-1 0,000E+0 0,000E+0 6,787E+3 2,257E-9
1,992E+0 3,254E-1 1,467E-1 0,000E+0 0,000E+0 6,817E+3 1,943E-9
2,024E+0 3,297E-1 1,538E-1 0,000E+0 0,000E+0 6,847E+3 1,103E-9
2,054E+0 3,338E-1 1,608E-1 0,000E+0 0,000E+0 6,877E+3 1,175E-9
2,084E+0 3,378E-1 1,681E-1 0,000E+0 0,000E+0 6,907E+3 1,868E-9
2,113E+0 3,412E-1 1,753E-1 0,000E+0 0,000E+0 6,937E+3 1,103E-9
2,141E+0 3,450E-1 1,829E-1 0,000E+0 0,000E+0 6,967E+3 3,023E-9
2,168E+0 3,485E-1 1,906E-1 0,000E+0 0,000E+0 6,997E+3 4,349E-9
2,194E+0 3,519E-1 1,980E-1 0,000E+0 0,000E+0 7,027E+3 2,320E-9
2,219E+0 3,547E-1 2,054E-1 0,000E+0 0,000E+0 7,057E+3 7,415E-10
2,242E+0 3,580E-1 2,128E-1 0,000E+0 0,000E+0 7,087E+3 1,618E-9
2,264E+0 3,606E-1 2,206E-1 0,000E+0 0,000E+0 7,117E+3 1,318E-9
2,285E+0 3,631E-1 2,281E-1 0,000E+0 0,000E+0 7,147E+3 1,591E-9
2,303E+0 3,656E-1 2,357E-1 0,000E+0 0,000E+0 7,177E+3 9,760E-10
2,321E+0 3,679E-1 2,436E-1 0,000E+0 0,000E+0 7,207E+3 2,094E-9
2,337E+0 3,699E-1 2,510E-1 0,000E+0 0,000E+0 7,237E+3 1,319E-9
2,352E+0 3,713E-1 2,591E-1 0,000E+0 0,000E+0 7,267E+3 9,524E-10
2,366E+0 3,727E-1 2,663E-1 0,000E+0 0,000E+0 7,297E+3 1,255E-9
