angel	 rel signal 	s (std. deviation)	angle ber
65.56	0.05052	0.00761	44.44
65.57	0.04962	0.00696	44.45
65.58	0.04731	0.00357	44.46
65.59	0.04799	0.00266	44.47
65.6	0.04641	0.00522	44.48
65.61	0.04392	0.00501	44.49
65.62	0.04306	0.00516	44.5
65.63	0.04202	0.00432	44.51
65.64	0.0394	0.00497	44.52
65.65	0.03347	0.0056	44.53
65.66	0.04835	0.00689	44.54
65.67	0.74073	0.00085	44.55
65.68	0.84389	0.00081	44.56
65.69	0.87631	0.00072	44.57
65.7	0.90313	0.00054	44.58
65.71	0.92068	0.00102	44.59
65.72	0.93361	0.00097	44.6
65.73	0.94731	0.00066	44.61
65.74	0.9598	0.00067	44.62
65.75	0.96925	0.0008	44.63
65.76	0.97748	0.00099	44.64
65.77	0.98363	0.00079	44.65
65.78	0.98892	0.00082	44.66
65.79	0.98973	0.00093	44.67
65.8	0.98743	0.00095	44.68
65.81	0.98345	0.00072	44.69
65.82	0.97549	0.00061	44.7
65.83	0.96509	0.00065	44.71
65.84	0.95432	0.00105	44.72
65.85	0.94365	0.00105	44.73
65.86	0.92868	0.00097	44.74
65.87	0.91665	0.00063	44.75
65.88	0.89987	0.00073	44.76
65.89	0.88083	0.00077	44.77
65.9	0.85189	0.00072	44.78
65.91	0.77017	0.00117	44.79
65.92	0.19872	0.00988	44.8
65.93	0.00087	0.00443	44.81
65.94	0.00035	0.00538	44.82
65.95	0.00334	0.00833	44.83
65.96	0.00727	0.01069	44.84
65.97	0.00777	0.01049	44.85
65.98	0.0084	0.01024	44.86
65.99	0.00908	0.00994	44.87
66	0.00949	0.00949	44.88
66.01	0.02809	0.00852	44.89
66.02	0.6066	0.00499	44.9
66.03	0.82245	0.00083	44.91
66.04	0.8651	0.00094	44.92
66.05	0.89259	0.001	44.93
66.06	0.91104	0.00097	44.94
66.07	0.92809	0.00078	44.95
66.08	0.9413	0.00086	44.96
66.09	0.95405	0.00069	44.97
66.1	0.9645	0.00059	44.98
66.11	0.97287	0.00094	44.99
66.12	0.98033	0.00072	45
66.13	0.98675	0.00075	45.01
66.14	0.98951	0.00065	45.02
66.15	0.9896	0.0006	45.03
66.16	0.98702	0.00067	45.04
66.17	0.98241	0.00073	45.05
66.18	0.9754	0.00076	45.06
66.19	0.96486	0.00053	45.07
66.2	0.95487	0.00095	45.08
66.21	0.9422	0.0007	45.09
66.22	0.93004	0.00078	45.1
66.23	0.91466	0.00073	45.11
66.24	0.89585	0.00056	45.12
66.25	0.86673	0.00061	45.13
66.26	0.83389	0.00056	45.14
66.27	0.67027	0.00303	45.15
66.28	0.04727	0.0036	45.16
66.29	0.04727	0.00406	45.17
66.3	0.0455	0.00518	45.18
66.31	0.04342	0.005	45.19
66.32	0.04207	0.0042	45.2
66.33	0.038	0.00494	45.21
66.34	0.03655	0.00447	45.22
66.35	0.0342	0.00595	45.23
66.36	0.03705	0.00457	45.24
66.37	0.40033	0.00801	45.25
66.38	0.81219	0.00056	45.26
66.39	0.85985	0.00113	45.27
66.4	0.88631	0.00068	45.28
66.41	0.90987	0.00085	45.29
66.42	0.92524	0.00069	45.3
66.43	0.93836	0.00103	45.31
66.44	0.95102	0.00075	45.32
66.45	0.96124	0.00067	45.33
66.46	0.97047	0.00069	45.34
66.47	0.97838	0.00099	45.35
66.48	0.98521	0.00083	45.36
66.49	0.98865	0.00066	45.37
66.5	0.99005	0.0009	45.38
66.51	0.98924	0.00076	45.39
66.52	0.98458	0.00059	45.4
66.53	0.97712	0.00088	45.41
66.54	0.96794	0.00073	45.42
66.55	0.95763	0.00045	45.43
66.56	0.94872	0.00046	45.44
66.57	0.93538	0.00061	45.45
66.58	0.92203	0.00076	45.46
66.59	0.90666	0.00081	45.47
66.6	0.88427	0.00078	45.48
66.61	0.85994	0.00053	45.49
66.62	0.81105	0.00057	45.5
66.63	0.30622	0.00649	45.51
66.64	0.03564	0.00313	45.52
66.65	0.04017	0.00729	45.53
66.66	0.04609	0.00986	45.54
66.67	0.04781	0.00937	45.55
66.68	0.05066	0.00728	45.56
66.69	0.04582	0.00529	45.57
66.7	0.04383	0.00523	45.58
66.71	0.04256	0.00493	45.59
66.72	0.3324	0.0044	45.6
66.73	0.80875	0.00088	45.61
66.74	0.85293	0.00071	45.62
66.75	0.88427	0.00073	45.63
66.76	0.902	0.00045	45.64
66.77	0.92131	0.00075	45.65
66.78	0.93578	0.00069	45.66
66.79	0.9484	0.00108	45.67
66.8	0.95853	0.00078	45.68
66.81	0.96803	0.00078	45.69
66.82	0.97685	0.00076	45.7
66.83	0.9834	0.00083	45.71
66.84	0.98797	0.00078	45.72
66.85	0.98969	0.00067	45.73
66.86	0.99028	0.00072	45.74
66.87	0.98666	0.00077	45.75
66.88	0.98146	0.00092	45.76
66.89	0.97467	0.00075	45.77
66.9	0.96554	0.00061	45.78
66.91	0.95419	0.00069	45.79
66.92	0.94397	0.00083	45.8
66.93	0.93176	0.00078	45.81
