G11_shinriki
06.09.2021
19:28:22
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 7,628E+3 9,080E-11
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 7,658E+3 1,020E-10
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 7,688E+3 1,612E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 7,718E+3 1,120E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 7,748E+3 1,019E-10
1,526E+0 1,814E-2 1,638E-1 0,000E+0 0,000E+0 7,778E+3 1,040E-10
1,526E+0 1,814E-2 1,638E-1 0,000E+0 0,000E+0 7,808E+3 1,107E-10
1,525E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 7,838E+3 7,955E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 7,868E+3 8,755E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 7,898E+3 7,924E-11
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 7,928E+3 9,794E-11
1,526E+0 1,814E-2 1,638E-1 0,000E+0 0,000E+0 7,958E+3 6,356E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 7,988E+3 9,846E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 8,018E+3 8,168E-11
1,526E+0 1,814E-2 1,640E-1 0,000E+0 0,000E+0 8,048E+3 9,219E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 8,078E+3 6,681E-11
1,526E+0 1,830E-2 1,645E-1 0,000E+0 0,000E+0 8,108E+3 8,623E-11
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 8,138E+3 1,050E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 8,168E+3 9,091E-11
